X01_q0,X01_q1,Y01_q0,Y01_q1,X12_q0,X12_q1,Y12_q0,Y12_q1
3.155596049746866250e+00,3.144270338581673929e+00,1.494714120868925411e+00,3.158974047981982558e+00,1.603935720911907836e+00,3.086119919500393216e+00,8.394622742175716912e-01,-2.804329142058228832e-03
8.133063723760660182e-03,1.628064557271411417e+00,3.205468479883546884e+00,2.208733173792681193e+00,2.347628588772751712e+00,3.180294318665283004e+00,2.640335668309267803e+00,3.366730205179099489e+00
3.145452468685704162e+00,8.297540840317665811e+00,3.132866401601987150e+00,5.918784096388813865e+00,8.625786254662167751e-01,6.246692061848729161e+00,2.731917379382140521e+00,3.437857528095456860e+00
9.025629644197878942e-01,3.954330213428409735e+00,2.618438494886810020e-01,1.366722461467472005e+00,6.268340192158674107e+00,2.160546714525852785e-01,4.678000868734647710e+00,3.078104388173858119e+00
3.097149218342389432e+00,4.927497963484602117e+00,6.240596040015668144e+00,2.535814996195592030e+00,3.120501205829952607e+00,2.643315218697424029e+00,3.226887132566387262e+00,1.661709020153749883e+00
3.661952632148122611e+00,3.575524258394762178e+00,4.377765743523530872e+00,3.141819974372471957e+00,3.127935930436386069e+00,3.140962418662317290e+00,-1.533790242764850875e+00,5.162999165644943211e+00
2.936013254567684694e+00,6.260067621571005603e+00,2.341666430409853117e+00,5.909556252929967002e+00,4.949366945591314071e+00,4.667922458958596171e-02,5.786296321176857660e+00,5.474298693748075095e+00
2.261620417125697724e+00,2.740738294611835737e-03,1.958242723669043617e+00,6.272782340978697135e+00,6.017794562005662762e+00,2.080775506019606758e-01,5.595527364560208383e+00,1.402040090650244819e+00
3.200019710562713282e+00,3.143151658180730834e+00,3.165838768876096943e+00,1.773666050839368957e-01,8.047884594577870976e-01,6.775100497303473412e-01,1.419317115760645009e+00,3.073737735871655108e+00
2.865325115809133294e+00,3.498022997303200654e+00,4.631518604037271558e+00,6.600454882630963027e+00,4.868237973011526165e+00,-2.976250574937844839e-01,6.847273504559819202e+00,5.220530624155750657e-04
2.349379892609716691e+00,3.155084727442773129e+00,3.202379302494841262e+00,1.619856348630051679e+00,2.583758340984096513e+00,4.979166660896954255e+00,3.672869917912362947e+00,-3.220896365316040511e-01
5.032891352088467052e+00,4.720558607401737383e+00,3.327156381319739342e+00,4.926549816964642226e+00,3.992665639003825540e+00,3.237690223067831052e+00,-3.918196596711192442e-02,3.134355560421281606e+00
2.980668108019057794e+00,2.788235623966920151e+00,1.633033954431320156e+00,3.128680290351788962e+00,6.198234179681266554e+00,2.177447108966934497e+00,6.247978545971912823e+00,1.889379111470443018e+00
3.173572506180582842e+00,2.284609696946822682e-03,4.444019933015942669e+00,5.777152878721177665e+00,4.094102536639400824e+00,5.213091589980079377e+00,3.137535034573816883e+00,4.691020871601614850e+00
5.653488615325775513e+00,4.241178536101135599e+00,3.282059794051469748e+00,5.112616197244890692e+00,3.184725809996044266e+00,3.191606903869856904e+00,3.603602075101305147e+00,3.141586794579423358e+00
3.153399212809111951e+00,4.209424313521704875e+00,3.145316501790121233e+00,6.258673256879562885e+00,6.287352934628382961e+00,1.646193308544637413e+00,3.150761139926765875e+00,6.289118399624795686e+00
4.604699672850940395e+00,3.080526002188964885e+00,2.022550429710531894e+00,3.012800710112624181e+00,6.303590737424189072e+00,3.031032028525320943e+00,6.414589925211375387e+00,3.037097162209750234e+00
6.074524977756220245e+00,6.278224295371185981e+00,1.151696225460781403e-01,8.995440008393882358e-01,3.212731046768618093e+00,6.165227020730989160e+00,4.189572405224995855e+00,2.626998029043389860e+00
3.132373239286930122e+00,3.645503497291831430e+00,9.551040367421355093e-01,5.574121736132306992e+00,2.594473157849480405e+00,3.316709511735273175e+00,3.723209628751963152e+00,4.811556386863417245e+00
1.058046147897384950e-02,6.474235684952746039e-01,4.503318605190583662e-02,3.139747346657022042e+00,4.809664994701311258e+00,-6.724165292762426869e-05,4.474998730218343823e+00,2.581831102729303051e+00
3.134655608674640437e+00,3.190903757996845780e+00,1.875651755068994397e+00,7.871652477706317375e-02,6.337240256309268460e+00,2.968412746407117719e+00,2.055443554489293945e+00,3.146200523326550869e+00
3.362206026250581292e+00,6.152416865699668946e+00,5.876540818185858939e+00,2.653066598082914229e+00,4.819781039790575150e+00,2.057098146161133456e-02,4.373889017678081359e+00,5.877272482563646427e+00
3.209279391523226277e+00,2.858135603028634897e+00,3.137427133966687709e+00,3.319746104172784928e+00,3.108403312545538810e+00,5.596191224747880888e+00,3.133299955225172795e+00,4.300143674300610286e+00
3.141640367695570202e+00,2.120077093270614998e+00,3.141616844627939553e+00,3.276730730462128705e+00,4.661228690456136192e+00,3.142897801140799974e+00,6.471734953350585240e-01,4.751722908120155076e+00
8.907577846991593384e-02,5.599317451442568760e+00,3.288605307251190268e+00,6.284784964010839303e+00,3.083474614599852170e+00,1.445114108930752428e+00,3.144793592555811035e+00,6.245746949942314608e+00
3.141457632057043536e+00,3.060856920196945552e+00,3.136190506953838941e+00,1.876683309408979650e-01,2.892519484268297192e-01,3.143145299931498826e+00,3.125897629244046350e+00,6.778809374864817050e-01
-9.354074957953133485e-01,3.109130150148399885e+00,2.017885624720550664e-01,3.139662304789133440e+00,3.022111344917973952e+00,1.352536625293581984e+00,2.693720982762801697e+00,5.353583036544361740e+00
5.766635360838561652e+00,3.057660229304137722e+00,1.867595469335624703e+00,4.812520837794147077e+00,6.029862825181997898e+00,5.501266462023874482e+00,1.520072628738486920e+00,3.948473741218667232e+00
6.655236706569164773e-02,6.157669453304670526e-01,3.994969726836183455e+00,3.586444796169670823e+00,2.748822068497700943e+00,3.146720770478963036e+00,1.997195785438805382e+00,2.960067018627028368e+00
9.598721080186229937e-01,4.059071554448836494e+00,3.016884232655782719e-02,1.432681638526184242e+00,2.727079654173916179e+00,2.911442179830189048e+00,5.922411898698863197e+00,1.156220769662406750e-01
6.272970182754525226e+00,2.082581195538006025e+00,3.151117567464154945e+00,3.142089050331406064e+00,1.957350864413692326e+00,3.193431493651809561e+00,1.598440515871376588e-01,3.160834402013835476e+00
