X01_q0,X01_q1,Y01_q0,Y01_q1,X12_q0,X12_q1,Y12_q0,Y12_q1
-1.275235796743607875e+00,9.947695930132083308e-01,9.523759136808170878e-01,6.755323641784355182e+00,1.721954101104200330e+00,1.237508335234812629e+00,3.118887089405256052e+00,1.355957059374759965e-01
6.744441962908957144e+00,4.568885404952888862e+00,4.041623184849862938e+00,4.835910154024686491e+00,-3.067141183386308534e-02,2.161579314389335593e+00,1.987635783630595343e+00,-9.442953778689575639e-01
2.385690921021989819e-01,3.319306049761125976e+00,3.126426154094289700e+00,3.021924881965628806e+00,2.843671234493812872e+00,4.784340016728304001e-01,1.059476926684596476e+00,4.788595852841487144e+00
6.108656948245461571e+00,4.417455486068461390e+00,4.345436687707883827e+00,2.995160815152984934e+00,-4.453058061748907392e-01,3.193194445289204153e-01,5.434666122367655561e+00,1.817928097019062994e+00
-1.375547378626871708e+00,7.420827272376856243e+00,4.162305247417751985e+00,4.186207313830974996e+00,2.993046794930167120e+00,4.880617963764791511e+00,3.886081036212418738e+00,4.285738465712238821e+00
2.911773524865993501e+00,9.010357145514162891e-01,5.494882956526605078e+00,5.140035924958130664e+00,2.578019460508531591e+00,-3.816723037145793862e-01,-1.998449975312223681e-01,-1.017296450257729884e-01
3.215852823960298146e+00,6.370842247442925377e+00,7.584740896342443861e+00,6.474611468696562788e+00,1.979048001157336145e+00,3.733504795108982588e+00,2.316227720752639385e+00,-1.896149621947401664e+00
3.978551791486484301e+00,2.586259255250313416e+00,3.298275130351227880e+00,3.289569005948801639e+00,-5.612071395459257150e-01,4.736572788560521552e+00,3.325856915498304645e+00,3.135915873939782550e+00
1.862588067331141906e+00,3.324491844172577260e+00,1.804738169494274347e+00,3.169545683611914466e+00,-5.756693371957188193e-02,-2.145889868619278718e-01,6.046230676604289478e+00,3.963507795742161832e+00
3.860213909464802473e+00,3.826100171891585244e+00,1.628055624638228061e+00,8.518979928710337379e-01,2.999893898805492842e+00,1.639479270976907044e+00,2.108125750274280286e+00,5.369746730716595806e+00
6.254519587799686420e+00,1.008474026757525399e+00,4.917361591862706938e+00,3.130637357896359774e+00,6.789946021192788450e+00,2.461777648761613868e+00,1.006848550786683560e+00,2.205118603495583418e+00
-3.106758528559521934e-02,1.944333344748844672e+00,1.094636181205845826e+00,5.922787954086761175e+00,4.800621007782434724e+00,-1.706367025031759743e-01,4.018501742352056816e+00,8.556325570515039836e-01
1.755066520445814141e-02,-1.585572612340657939e+00,2.095910138078743046e+00,2.819797649460128675e+00,6.785736095399316881e+00,5.191227905267952636e+00,6.431826692922274269e+00,2.872330056252906161e+00
4.727715346351244463e+00,9.308992805359308065e+00,3.129616200370870960e+00,2.405822406827310189e+00,4.404049180594316937e+00,6.690326124824550469e-01,1.403499791336790042e-03,3.190077570314799438e+00
2.979337302663318532e+00,1.378674992681049982e+00,4.308192169668443872e-01,2.231078309156154127e+00,6.643617075579505205e+00,4.102263112193835326e+00,9.462626976904022769e-01,4.394336263597731218e+00
-1.711242087764612563e-02,3.281311043582261000e+00,-6.591296286278657268e-01,-1.650370348552668565e-01,6.441432828984374304e+00,3.559248119580131764e-01,4.009139853967651490e+00,-1.705889558712162524e+00
