X01_q0,X01_q1,Y01_q0,Y01_q1,X12_q0,X12_q1,Y12_q0,Y12_q1
3.096288721753842843e+00,6.036913554308789287e+00,3.190592316077551782e+00,3.144390098686813406e+00,8.632984190857942997e-01,3.668922237668521547e+00,2.368583841247594649e-02,5.972048555334761311e+00
9.884427246686672275e-02,4.982671699796598297e+00,3.046032033527619642e+00,3.169188482422725439e+00,3.953714540183382642e+00,5.120972482421722205e+00,5.007456637678962992e-03,3.538208226519923283e-02
2.713136234467645291e+00,1.095759864704371367e+00,3.193644477561758954e+00,2.688819096284851717e+00,2.977009239363626603e-01,5.716465740816966123e-01,6.281485885021425020e+00,6.613107594450443605e-01
2.414184147161011484e+00,4.134092289656479124e+00,3.254690607282400006e+00,3.143799955934920121e+00,6.282902255769130306e+00,4.409529918284782468e-01,6.250904826776753964e+00,5.788610282971961674e+00
2.221397911205701473e-02,2.653816702036497333e+00,3.565014749817481121e+00,3.597876927417140713e+00,5.022944904846147335e-02,2.042226313792663728e+00,3.459029595553289926e+00,4.201506222470274388e+00
6.200514922294726894e+00,4.959456813314446211e-01,2.940835176819399432e+00,3.118128318092464379e+00,6.021400930745977931e+00,6.274983919050384884e+00,7.334553029365946664e-01,4.972584642263115029e+00
6.277741962698656586e+00,4.995413985740640328e+00,2.823210343987373694e+00,3.090208379217736390e+00,5.812233571621459177e-02,2.760881784101148373e+00,2.890606922962027703e+00,3.367701006054797830e+00
-4.626926442429983230e-03,2.393884654986381033e+00,3.461280718577394389e+00,5.459402921408059051e+00,5.981932931991184255e+00,9.279449347836622453e-01,3.404840082023576464e+00,3.280486013745870788e-01
-2.702831498808747068e-02,6.847846003985729180e-01,3.245312200321818885e+00,3.529484297674897242e+00,2.630275519009053653e+00,2.021742020001347395e+00,3.462723774092860918e+00,5.591037723723776054e+00
6.370346985378379401e+00,4.992178236111731948e+00,3.405886781518398188e+00,3.050674350160061721e+00,4.002133042486947012e+00,6.218171004402951729e-02,5.600063329828402381e+00,7.926493497234977648e-01
-4.273872614438440909e-01,-5.955729682177144380e-01,1.738432745014265368e+00,2.785648139749045793e+00,2.344838944991202087e-02,6.905827057198343777e-02,1.571722325742900939e+00,4.022259895547933617e+00
4.295971057787634217e-01,5.809043005398093484e+00,4.075547089665189637e-01,7.385709904646730051e-01,6.143305731119343527e+00,7.329560233249057810e-02,3.043859508352430687e+00,3.883112346614239208e+00
3.223342881902304669e+00,-3.952875780704306341e-01,4.194414394371452914e+00,3.461026103205655069e+00,4.561863949727752221e+00,6.181187329641475436e+00,2.952745979951105326e+00,3.148776873564449907e+00
6.173147823015937341e+00,6.368751549990038896e+00,3.119687323612436280e+00,4.444048789012296830e+00,3.498875451624131383e+00,6.009252605822114290e+00,3.094065776435335202e+00,3.047463591678872596e+00
3.486607596591533742e+00,-9.901953240601409911e-01,4.550041178658068119e+00,4.008150237179870956e+00,5.866756637396425056e+00,3.158680307699133660e+00,3.046331867836627794e+00,3.307909044236548635e+00
