X01_q0,X01_q1,Y01_q0,Y01_q1,X12_q0,X12_q1,Y12_q0,Y12_q1
1.607090114385275603e+00,1.673683625032988509e+00,6.283185307179063095e+00,1.015335546861690175e-11,1.727441464352706069e+00,7.937406333181086460e+00,-1.491582412408858238e-12,6.283185307146923471e+00
7.406027019207398615e-03,6.288873303061476072e+00,4.977620220935643935e+00,-1.361924754316211850e+00,-4.530596657516262615e-01,6.277249243929175826e+00,1.302072101193728404e+00,1.355924818208140703e+00
4.427986066936911769e+00,1.550667484769609805e+00,4.622167374802744533e+00,4.640618620087522572e+00,1.790570441029049942e+00,4.756096950333818185e+00,4.640646915109985393e+00,7.922932644468350105e+00
5.968963098869526362e+00,6.159945148755187283e+00,-1.561741381505570070e+00,4.718343252746211469e+00,6.026403901548566644e+00,1.894165321642062721e-02,7.844794816238644053e+00,1.560391247889877597e+00
-2.946759247819256355e+00,6.285716368874433080e+00,1.582191842622951539e+00,-1.577322193922975124e+00,3.373910437438323306e+00,6.296974299196723912e+00,4.705235463399456641e+00,1.577301745007823941e+00
3.141859682948797694e+00,2.287356221999996232e-05,1.549993624332963726e+00,7.857121656297132439e+00,3.142604075320185597e+00,-1.313129966951409426e-02,1.551341578556351797e+00,4.705919088589344490e+00
2.984221958112932782e+00,-3.396209121575698045e-04,1.555042110202889960e+00,4.700855121845101792e+00,3.074494362446078544e+00,-9.418928064017116283e-03,4.733420411702446096e+00,1.575918814067580831e+00
1.867368994637485180e+00,2.560302258142065912e-01,4.715382357996348972e+00,1.631636164691198543e+00,4.499803108302769417e+00,-5.490182635811376096e-05,4.686397409945477044e+00,7.939488948996922701e+00
5.010157252036998798e+00,-1.120000286865707073e+00,1.623573254224237816e+00,4.739892844972862562e+00,7.906411568959996750e+00,1.456538149217285083e+00,4.824020402721787448e+00,4.839962463373097101e+00
6.283185307175944700e+00,-1.346801302871418885e-09,6.283174603245210044e+00,3.912797570544135824e-12,3.141592653592608642e+00,3.141592653583430206e+00,2.541324511285090182e+00,2.218558394815277612e+00
-1.295992778709461613e+00,4.205449133749651125e+00,1.603698468902303054e+00,7.761589269560813520e+00,8.075977320511706026e+00,3.154165782803219908e+00,1.537378980947211815e+00,-1.457238046451409419e+00
3.141000007114713277e+00,3.145544576529290648e+00,1.562401372244129005e+00,1.574133918436927182e+00,3.513569245410842701e+00,3.700240515950248277e+00,1.558349296403441553e+00,1.575162482877181525e+00
2.857229679481607221e+00,3.143574993467654455e+00,4.712205429365256215e+00,4.743613550266369217e+00,3.141544774786302341e+00,3.139387162975768142e+00,4.714946420732592181e+00,-1.535517251392393367e+00
4.800632070318932243e+00,7.059680637885495713e+00,1.532431458732560481e+00,4.677639450487133033e+00,1.511837493680554090e+00,7.136425772155466696e+00,4.716226745950335086e+00,1.596193314060154744e+00
3.141603019901683780e+00,5.706883313117270262e-01,1.747018123889782171e+00,1.554660470578400844e+00,2.505517754769532424e+00,7.032054488207265308e+00,1.681351997697193790e+00,1.556188459359169274e+00
8.826164266615581511e+00,2.369294071479965513e+00,1.486467970435106478e+00,4.719004883990927546e+00,3.142303259913278524e+00,4.425704269326590889e+00,4.754530160256160265e+00,4.733114866259738207e+00
6.283008443431304713e+00,3.141592653826973169e+00,1.456579934726534908e+00,1.380186061916015561e+00,6.261906073121990879e+00,4.017915068904756914e+00,5.005919170328380297e+00,1.461932214788431716e+00
3.141592673206568431e+00,3.141592660016395921e+00,1.456003313723772230e+00,5.157893533086156168e+00,-1.479613729265611077e+00,3.141592654146724506e+00,4.578078607758022223e+00,7.189503871218463793e+00
3.141592653683169534e+00,1.015696833858315218e+00,1.998596203141204757e-04,-1.343274584098717694e+00,3.141477278890129288e+00,3.141592652503489624e+00,4.436990594297767210e-01,4.642167823584324005e+00
5.025576050151938645e+00,4.129161640316106663e+00,6.283185307194782077e+00,1.099596742996351037e-11,4.293483220872089667e+00,7.505570001666449720e+00,3.141592653601905205e+00,3.141592653602075735e+00
-1.034666614371612114e+00,-1.960084837579596950e+00,1.712218209293891569e+00,1.810531772063795453e+00,4.855165262241156299e+00,7.557334689961119345e+00,4.476102422760718014e+00,4.420009079643763883e+00
6.283185306390823399e+00,3.141592653652003353e+00,6.283185308277970726e+00,5.199669660520165770e+00,3.141592653590711048e+00,1.603024927749041636e-10,3.070001191893472647e+00,3.141592653577903516e+00
1.530140190827683353e-10,4.531163486947815677e+00,1.461856549425303742e+00,1.947227106989632528e+00,4.478292271007097369e+00,-2.790346259713665233e+00,1.090059671251745632e+00,1.661293838673675527e+00
6.283185307793625718e+00,3.043861766753729992e+00,1.612899019187751026e+00,6.843732084691312778e+00,6.283185309157646614e+00,3.198704863184801628e+00,3.109155287510965149e+00,1.183788602292627834e+00
-1.767403629066736981e+00,6.283185313220541524e+00,2.829323673178981036e+00,1.405063669930868064e+00,3.337954017858132616e+00,8.132979136420231958e-01,1.874057784412394900e+00,5.364389328462921824e+00
1.104114261681223008e-01,6.283184966495028334e+00,1.351010320384437469e+00,4.750202568915630863e+00,-1.336570730079782203e-06,7.144319861302718344e+00,4.992162816696079197e+00,4.622797841072250336e+00
8.713034923242727961e-10,3.141592654924150185e+00,1.250544849832983196e+00,6.283185307176797352e+00,3.141593456100491011e+00,6.283185307174383283e+00,3.141589950855009139e+00,4.359184212852242446e+00
4.173457875406362483e+00,3.655751627820668759e+00,1.628419381261767329e+00,-1.537870376660426697e+00,2.777832594155251744e+00,4.653857322811779440e+00,4.779946927428698977e+00,4.844784863991373314e+00
1.917901971143555429e+00,7.379682354100116637e-01,1.380739990785404325e+00,4.718223256967733370e+00,3.890214337877937467e+00,7.846776419291209947e+00,1.542070174824622164e+00,-1.658953592042285541e+00
-1.938880790819470158e-13,6.283185307190615632e+00,3.755521067612288544e+00,3.141829794928120645e+00,3.141592653629774912e+00,3.141592653611028574e+00,3.066791544863511297e-05,8.775739556405436348e-01
1.460101717163381885e+00,9.311496885415012636e-01,7.784151359087421618e+00,1.533649793894532820e+00,8.050650797830462224e+00,7.771846568456652449e+00,1.619231246463949558e+00,-1.689164055302628364e+00
3.209485953536264535e+00,5.118985318052442501e+00,4.690994786545610751e+00,-1.568518883576547340e+00,3.521980520052618857e+00,5.273520332159371549e+00,1.563015206184163786e+00,4.760336097130838162e+00
7.083054690222836847e+00,6.278503360421287205e+00,-1.561289901911823153e+00,4.735901758899235148e+00,8.195201816070054601e-01,6.202941834994403436e+00,1.580071349153932880e+00,4.732286333899407893e+00
3.196673222231551481e+00,-1.277457906062097748e-01,4.703999266367193677e+00,4.710776842481703142e+00,3.235075672132938784e+00,6.282164117064787945e+00,4.714933310037276115e+00,1.565583429656277836e+00
6.247317933854928285e+00,7.467446898267336985e-01,7.851313861644183767e+00,1.567917688480907845e+00,6.769230457688335534e+00,5.514898824083455331e+00,-1.587300456412338301e+00,4.700229083635093730e+00
5.612498849799871792e+00,8.213521717662559674e-01,7.833936263083616680e+00,-1.567455238414910967e+00,4.463156861841502954e-01,7.127212476506719518e+00,-1.539866456703787412e+00,1.550323345319199797e+00
3.145131109737844266e+00,3.146084316258170865e+00,-1.620893519376141345e+00,1.582724253147119065e+00,3.156844669265873815e+00,2.393827239225986947e+00,1.650750035822024175e+00,1.613948551192727843e+00
6.283185304619602896e+00,3.141538046027966491e+00,4.826972662270714309e+00,1.483103896961908807e+00,1.116737187268065812e+00,4.019057406091651075e+00,-1.239921261163201560e+00,7.561620563897278657e+00
-2.051610852116229073e-09,3.150898439939396667e+00,2.095922940943486967e+00,8.365645723442419524e+00,-1.007043519348878924e+00,2.010511572059109131e+00,2.466410889304574638e+00,2.517126574614817702e+00
