X01_q0,X01_q1,Y01_q0,Y01_q1,X12_q0,X12_q1,Y12_q0,Y12_q1
5.437799238265828450e+00,1.327118893678920886e+00,3.141592653579740713e+00,5.809841303263040935e+00,1.571045799442790658e+00,-3.141592595114080844e+00,1.102858094862636265e-08,3.141592653597070850e+00
6.000486985194091183e-01,9.424777959420538309e+00,6.155188868283213210e+00,4.736003006827220127e-04,6.283185307144381504e+00,3.141934132470435070e+00,6.817826222987163121e+00,6.283201920317590172e+00
2.704528428714615185e+00,3.141592653641725796e+00,-1.471336836263231529e+00,1.265093095596367734e+00,6.157096571323204870e+00,4.588168562755603475e+00,-1.619021520911354761e+00,4.994787682627622516e+00
2.149153398601106435e+00,3.141534610587039644e+00,-1.468772603952478439e+00,4.873721776480346435e+00,3.139883044808700063e+00,2.356645949045147681e+00,7.803440823078977573e+00,4.564322073675635139e+00
1.678320424554634815e+00,3.138950776122756636e+00,7.859755017852715575e+00,-1.451868696439656103e+00,2.586512091793512713e+00,3.782759482830840181e+00,4.632497936933535954e+00,7.842486819897094286e+00
3.015315927458203760e+00,3.940378023573147814e+00,4.744439649432495187e+00,4.698843573028094411e+00,3.136174955895649319e+00,3.295042432016061174e+00,1.571901043139255050e+00,1.615483776620514123e+00
1.876835124453523296e+00,2.888000584833526396e+00,1.560822466219832005e+00,1.519175111962036473e+00,3.406032915365928559e+00,3.221272614904165277e+00,1.577173102858748122e+00,1.551669292060442240e+00
1.499683076045933872e+00,4.064560880350992278e+00,7.806343022083518157e+00,4.732120253040832836e+00,7.662035866751814694e+00,3.123375172164726266e+00,4.716161737397364995e+00,4.726686786156928832e+00
3.926219155366318159e+00,4.723804600560006506e+00,4.685655950817673165e+00,1.572961080987447469e+00,2.790605841981199653e+00,1.523586012789529986e+00,1.555459587430926716e+00,4.682087114698847863e+00
5.531897328646210310e-01,8.585802364500853656e+00,1.656530584380619509e+00,4.798931476658664153e+00,-5.439446814057522506e-01,2.246958966960637571e+00,1.661927336471190175e+00,4.843710166655063709e+00
1.903127547820068877e+00,4.739842739309634290e+00,4.917414830859750730e+00,4.542823324807686802e+00,9.547392128191819483e-01,3.686823829093717197e+00,1.113583676485092822e+00,4.265061082285011018e+00
3.141592653606133378e+00,6.283185307181347490e+00,6.278090742367991695e+00,3.141981291910031171e+00,6.283365040123089607e+00,3.142217415551949333e+00,3.204856104082820956e+00,6.329952409633035515e+00
3.141592653596958939e+00,2.950056729041962912e-12,6.290075828103823596e+00,3.143972347754710572e+00,6.283484221476838272e+00,3.141427257807038131e+00,2.730249517848365226e+00,6.261624189711604949e+00
2.205964135876609777e+00,1.219304191928420655e+00,4.859805130839109921e+00,-1.667542320677386725e+00,1.433814406031822086e+00,4.155882645868990366e+00,5.171282547270097396e+00,1.970372612568448645e+00
4.773894619418340035e+00,3.616131496568583792e+00,1.625016068196033281e+00,4.740321929433575221e+00,1.794772109426162832e+00,2.647323778058166877e+00,4.591079620559614050e+00,4.786528350102950746e+00
3.780399008980806386e+00,5.182648271163663445e+00,7.806215107949333820e+00,4.753414751715006936e+00,-2.997888363715957460e+00,5.333666850320019748e+00,4.744853455188787095e+00,1.583919813348791727e+00
5.027925015407812559e+00,1.774445696888719670e+00,4.716409547404301961e+00,1.608830541177871387e+00,5.154714523774211798e+00,4.410019705856969452e+00,4.704986923615537719e+00,4.714770159228229396e+00
3.919567291567284784e+00,4.216729412536514232e+00,1.556822073934363670e+00,1.550276280014038166e+00,3.139326688040555702e+00,4.005617168254347327e+00,4.721782768499642735e+00,4.713534629911811713e+00
7.082792533108473343e+00,2.312375326513007145e+00,4.706308834661371066e+00,1.620229973111746880e+00,6.580050872677055906e+00,2.701892573416821985e+00,1.577797333396699253e+00,4.674628511582599621e+00
3.998822342326223911e+00,2.377300038735003174e+00,7.832025368721421188e+00,1.493820856464507019e+00,2.474521036483426695e+00,2.965694099745372458e+00,7.834103974854814467e+00,1.517016853596694359e+00
4.147269526139138129e+00,-4.494225991833305511e-01,4.724543605639852650e+00,4.686885418740819986e+00,3.140719331269867798e+00,9.151822430680288389e-02,1.518142432943627052e+00,4.655297382118290805e+00
-2.495836062190002647e+00,4.978099391527965878e+00,4.706246778387617624e+00,1.435188459357848556e+00,4.239571740233674113e+00,5.656028333515674689e+00,4.621491794458854052e+00,4.895879255689099985e+00
-7.266910785358980940e-01,7.513965061693146374e+00,7.778377489533347067e+00,1.795344474168898419e+00,1.970607278554386221e+00,3.999632996180426225e+00,1.067946632084885827e+00,8.471567679042971477e+00
7.296407438315707664e-11,-3.390143611895000176e-07,6.283161873908126971e+00,3.141592638264582682e+00,3.141734046031333882e+00,3.141496288679006987e+00,3.141583989396937504e+00,6.283052050541288125e+00
-9.235367016056985828e-10,6.283185181801686170e+00,6.285158905247355321e+00,3.141333274516033836e+00,-3.127053829320567413e+00,3.141595929672112764e+00,3.873430921677979200e+00,5.610047527515757970e+00
7.267653165162736073e+00,4.893424580134522195e+00,4.852253761482264061e+00,1.707725180465599291e+00,2.120918934009292656e+00,3.144637903028627779e+00,1.158831944574778339e+00,1.966062724577610554e+00
3.459484555433863573e+00,1.936032978782836977e+00,1.548373644072857491e+00,1.593518555023824890e+00,3.114410959703063586e+00,1.582417651809313597e+00,4.695169299675916896e+00,4.745727909584329218e+00
7.194815207011062697e+00,8.322903329048334520e-01,7.836482716519127756e+00,4.713311110080199207e+00,5.932963480083608410e+00,5.863333876122543309e+00,1.532265019123755234e+00,4.705853860539872535e+00
5.417789463285940244e+00,9.681620430174895375e-01,4.657066225946116411e+00,4.738360601659090676e+00,6.607400700433639917e-01,7.606974908526263901e-01,4.649390274653462107e+00,4.733657125832595014e+00
4.049667321303259904e+00,5.076840646148393255e+00,1.568701853861026008e+00,1.571981190963310349e+00,2.546302684173086028e+00,5.252883585198206084e+00,1.560874205229789924e+00,1.568414125380318325e+00
2.022649596835570662e+00,7.316691898001511873e+00,4.714656415734161499e+00,1.578397566083979964e+00,4.106663217307055191e+00,7.497110474728414520e-01,4.719695326856975903e+00,1.571849363329676175e+00
4.742121625645508765e+00,4.967193590214863619e+00,4.712224329886880447e+00,4.746484415064176510e+00,4.648175655514044102e+00,1.324718441867891006e+00,1.582128469790287539e+00,-1.549501342381236269e+00
1.183588277448239801e+00,4.602775861685779901e+00,4.697657662202106899e+00,1.599340512046846685e+00,9.273037417282299355e-01,7.842981526348121513e+00,4.714795274880605014e+00,1.583748936524718598e+00
8.328808748768221193e+00,7.056205586347657821e+00,-1.561316572774723577e+00,4.705164364195547400e+00,4.011375790923061402e+00,6.603077072963454697e+00,4.706704074455551279e+00,1.574491786577328911e+00
