X01_q0,X01_q1,Y01_q0,Y01_q1,X12_q0,X12_q1,Y12_q0,Y12_q1
1.982354553701534350e+00,1.998791661291962729e+00,2.207041121061363456e-12,6.283185307135502384e+00,1.102523328013787607e+00,7.731293261305090425e+00,3.141592653588751283e+00,3.141592653590374429e+00
-1.171382285370885512e+00,2.279008441775073557e+00,1.462721133027753195e+00,8.559298233257239374e+00,3.141604894327167052e+00,3.141592665806188123e+00,3.141592653588235251e+00,3.141592654000912699e+00
-6.658065926056351713e-09,4.872130611953143564e+00,3.028325636952051703e+00,2.341203378266965895e+00,6.283185357205510968e+00,3.141592661757140359e+00,4.622115174901701984e+00,1.609442668546773980e+00
4.402033293532296554e+00,1.569167644564138042e+00,1.165729523275881085e+00,-1.186920277033751026e+00,6.283185292824332357e+00,3.093584548288403457e+00,4.683638015014837563e+00,7.761192594830245817e+00
3.448097694811304681e+00,-7.554527404152147074e-01,8.245679062078245636e+00,1.575507277342103496e+00,3.141592421955686110e+00,6.283208675568115353e+00,4.545146215617237750e+00,4.704387110333734690e+00
1.693702932393600813e+00,4.944047715222245287e+00,-1.540730946797304046e+00,1.595926942344411126e+00,3.141592527187564432e+00,6.283185276247052364e+00,4.767533044073375414e+00,-1.565571243939095414e+00
-1.762899491790056894e+00,-1.083031805119006208e+00,7.782135349738241281e+00,4.757733843316478861e+00,3.141591987334567015e+00,6.283201077250983424e+00,4.738403160915504841e+00,1.553554815910733300e+00
-1.277607877717057416e+00,1.053476454304444809e+00,1.540898409958308513e+00,-1.556805568721996380e+00,1.060969079499095802e+00,6.283190223026754673e+00,-1.554747160135622419e+00,4.730973154712877715e+00
1.897708490145117111e+00,7.520118588996096420e+00,1.577672774699822478e+00,1.474921962700167288e+00,4.203361336069102450e+00,1.405108646550999034e-07,1.563135254501953231e+00,1.510078030833932994e+00
2.958427352738065563e-01,6.282469589618907335e+00,1.607921144677868508e+00,1.667915266385884943e+00,6.303751872251067034e+00,6.283207448484137814e+00,1.582397056154593473e+00,1.570181184958456377e+00
3.141599437587981658e+00,4.015213126502313656e+00,1.063294651895001941e+00,5.205877476085741584e+00,5.387304933195419920e+00,5.428151752130443874e+00,1.054401509011463123e+00,1.146610109159981850e+00
3.141592653560538295e+00,3.141592652604266345e+00,-3.492079678328220856e-09,1.697233317084428988e-07,6.280287015802594297e+00,-5.541309366525876134e-01,3.141592643199256241e+00,3.141592653935469936e+00
3.141592653517894185e+00,3.141592653396764412e+00,6.283185314161203294e+00,3.571394225121616494e-06,-5.987583694553231351e-05,1.160441740812578611e-04,3.141593253907764449e+00,3.141592650637755391e+00
3.141783127007192533e+00,-3.141776741571602916e+00,5.011192814165008613e-01,-7.858084510384262256e-01,-5.099195459741134862e-01,5.164809618208943576e+00,1.124881488228363757e+00,7.733168942542472557e+00
5.891283107070001135e-01,7.355492322481950174e-01,4.637970199256411519e+00,-1.671849916941357650e+00,6.067743577242128844e-02,-2.173727818466291983e-01,4.766368066555022764e+00,1.484011866294806747e+00
-1.063660977582514544e+00,-8.196442044273312133e-01,1.632275667784766515e+00,4.828667924636213193e+00,5.489994717908754041e+00,2.890413968133723546e-02,-1.606608677998264900e+00,1.539779902712467452e+00
4.202472436368239528e+00,4.106126224814670600e+00,4.727756695576314172e+00,4.686168886868470551e+00,3.078411368524622826e+00,3.463057423423656189e+00,4.714387290109562478e+00,4.705823206073565856e+00
2.181891391013895731e+00,5.367403358882431696e+00,1.551013447680322122e+00,1.482306428521582120e+00,3.209037551790030918e+00,6.282665874789568505e+00,1.537564614651798944e+00,1.520375957530178734e+00
4.161929304717403078e+00,7.398905434238673529e+00,-1.594572959440403448e+00,4.687783824619012663e+00,3.036730227723158482e+00,7.107171895282232699e-02,1.574583796399245728e+00,-4.696833653993879309e+00
7.315211159935007146e+00,4.193308361358615954e+00,7.976404738300092667e+00,4.673102150751685002e+00,5.943885327065433266e+00,3.617732257773267790e+00,1.646027391073410895e+00,4.677384843292085925e+00
-9.421583464666847263e-01,4.751408976764760261e+00,4.680894473438695691e+00,4.691314706738780593e+00,-2.334633235100219348e-02,4.795427093254015283e+00,4.703834551483894622e+00,1.582331912676264274e+00
6.864987631858753936e+00,2.376559126307918213e+00,1.682537384444548145e+00,1.621227170065502987e+00,-1.562698433763983277e-02,3.042928746404711671e+00,7.953666170317913675e+00,-1.639541987654798749e+00
4.878445353377685478e+00,4.302168761920067475e+00,1.665732765025990769e+00,1.810222704563343443e+00,-4.002805524468301280e-07,3.141623423391094239e+00,1.085754262891975408e+01,4.535679331572486817e+00
6.283184901144889700e+00,3.142293015777537946e+00,5.425886298493587390e+00,6.927103458301374639e-01,7.686996284410701819e+00,4.636336263029122051e+00,7.699346965745433868e-01,-6.101549576351559256e-01
6.283185306829357053e+00,3.141592653082932785e+00,-2.562566291619672158e-05,6.283185308619350984e+00,-3.141562933395236179e+00,6.282974492168064806e+00,3.141592612439929155e+00,3.141592943366785295e+00
2.025173859452627113e-11,3.141592653833911175e+00,-1.771988233301849534e-10,-2.204511281218458017e-10,-2.542103895849765927e+00,6.283187565225902382e+00,3.141592653146645819e+00,3.141592654638369009e+00
-1.629009440831901161e-07,3.141592653772176558e+00,5.226335581409078834e+00,-2.417785063604469483e-06,3.052620638441096546e+00,2.652285724943563405e+00,5.090223221995564096e+00,9.438661404491027751e-01
3.594772987375445261e+00,3.140994259009218137e+00,-1.360281058685922417e+00,8.112832252823210410e+00,3.142822603849134921e+00,3.141592459266899340e+00,1.351967751005836771e+00,-1.779035287311283353e+00
8.727271123211551185e+00,2.160416095848035400e+00,-1.467963505521452383e+00,1.696614070654347994e+00,3.272548852078468684e+00,3.141592731208987743e+00,4.707064587754834051e+00,7.943044741455295821e+00
5.144198098337203540e+00,4.059340570388293656e+00,4.754446260639684674e+00,7.934744081983565955e+00,-3.877664272700222063e-03,-3.141603768987453194e+00,1.102228480131701005e+01,4.643355442094918573e+00
5.341852199522267419e+00,1.042810732627291692e+01,1.569067691810398735e+00,4.653835092650358440e+00,6.283185151958777581e+00,9.424801122731480518e+00,7.836273874206324486e+00,1.620059307605690835e+00
5.169100752080058925e+00,4.019484142901981194e+00,7.846243707119322508e+00,1.603586557806140123e+00,6.282499150567026014e+00,3.141618282707089982e+00,4.727767629021216500e+00,4.685807909898956680e+00
-1.920406524583277541e+00,4.220203522240437266e+00,1.832091806918534127e+00,1.622311913401784045e+00,2.126975982388738196e+00,3.141907589050054739e+00,4.597459530642011849e+00,1.603181608564857141e+00
-4.423060792264691621e+00,9.858827592565435616e-01,-1.606387234160860267e+00,1.572625267251615000e+00,3.174552594077099332e+00,5.330372957043630677e+00,7.860893741979852578e+00,1.579066331488877983e+00
3.739188217422944049e+00,5.578854952436189230e+00,4.329142342186016457e+00,1.482658164163949799e+00,3.141562307534623955e+00,-3.335958121335182158e-02,4.532103687075212939e+00,4.751408822828153689e+00
4.545989955047406994e+00,5.903269880802890057e+00,-1.485947962634574848e+00,1.698963873687132198e+00,3.141583596821643010e+00,2.917494675342727291e-07,4.675105224506481250e+00,4.713621612321287735e+00
7.891988616525947853e-01,1.724732812881278653e-03,6.838003941279354514e+00,7.570737985255360236e+00,-6.283184360533528690e+00,4.260649041076461493e-06,1.075756429918838908e+00,4.984339476819323878e+00
6.283193007506511663e+00,-1.036530185786906255e+00,-1.598740308302625479e+00,2.920885645583104484e+00,6.283184437346762685e+00,6.283185959970065682e+00,3.141592526738513413e+00,3.142804882731969673e+00
2.241792020726409568e-02,-1.803959212794476796e+00,3.141592589943507985e+00,-3.141592653487740083e+00,1.397367425146657460e+00,-1.596185511400828316e+00,3.141592653586029460e+00,3.141592653761428267e+00
6.370241795070016977e+00,7.872157526134008876e+00,3.141592652671260311e+00,-3.141592654855352773e+00,3.726479712325827975e+00,1.714579134400137761e+00,3.141592653587856443e+00,3.141592653588999529e+00
