X01_q0,X01_q1,Y01_q0,Y01_q1,X12_q0,X12_q1,Y12_q0,Y12_q1
4.669507112110906633e+00,6.283185307178883683e+00,5.578831258522475522e+00,6.283185307179109280e+00,-1.527517208348940558e+00,1.389798470927010587e+00,5.732634776382680819e+00,4.091521600874153286e+00
3.141588574026749736e+00,2.089384877949821195e+00,4.696070262171810228e+00,5.172069060337909363e+00,2.343738117728282333e+00,2.157977891884564237e+00,-1.604831607940014448e+00,1.362203535480788208e+00
1.166754676689003289e-01,-6.114311277772863833e-10,1.499431336497713430e+00,1.760264910418612549e+00,-1.084668877531750342e+00,5.490304462035413557e+00,4.874044755093581038e+00,-1.818752626460780286e+00
5.447518413094299738e+00,5.744881347656130899e+00,4.591420841705179612e+00,-1.508535954461229567e+00,1.853799245068787627e-01,5.973208604192407734e+00,1.689135463454779496e+00,4.814542819911016736e+00
3.515739387527987425e+00,3.137488812681047179e+00,3.746516480774770397e+00,6.437140542072827820e+00,-5.394177930493579665e-10,-1.201848100870127957e-07,3.141592715342616859e+00,6.283185307179437906e+00
3.700376776176594884e+00,6.179885364848911924e-10,7.839717912547415679e+00,1.531800934516616808e+00,8.454215293773842177e+00,9.505188397865258487e-01,7.869146462387869079e+00,4.775065538309392288e+00
2.071808015172639905e+00,-2.202437581039885295e+00,1.973755056974358713e+00,5.097535920136968990e+00,1.571465546634610378e-04,6.327080487568360390e+00,6.587779960501653598e+00,3.141555912286129626e+00
3.235305767853294463e-04,3.141597721688978773e+00,1.625652294660653530e+00,4.699345361360323992e+00,5.289348359100102037e+00,2.194293830501305997e+00,4.592261280067128304e+00,1.606096172075656581e+00
6.270171634872820476e+00,3.141591993357366608e+00,1.555524180239595156e+00,4.663061570139833911e+00,1.080644739846326807e+00,4.109847691902148270e+00,1.577324842472208166e+00,1.651285818793487348e+00
2.192735053992772798e+00,2.197644187716060404e+00,3.228719296588357768e+00,1.253021156230267108e+00,5.386805072875550798e-03,2.985536366653910867e-01,4.475075897505017331e+00,3.038746735237338292e+00
3.144349513415472419e+00,-2.736891712938122723e+00,1.513418197784335062e+00,1.605416178738823696e+00,2.061434360997239423e+00,4.111272359324781966e+00,1.498533660573948989e+00,4.660541629135921404e+00
3.104769827527908088e+00,4.549552578927196222e+00,1.571739840000331512e+00,4.742343628949342360e+00,4.217855525305471254e+00,7.947974491354361959e+00,1.573678934835253340e+00,7.872701263286854712e+00
3.199039100854300433e+00,3.132593335736767681e+00,-1.593547472436771972e+00,7.887509124439880281e+00,4.167812197979079869e+00,2.122219842319174266e+00,4.682638160797549354e+00,1.618616518222022682e+00
1.084895876783663615e+00,2.933101672020702377e+00,1.584946101465026791e+00,-1.589332264120180804e+00,7.573010093864350978e+00,2.118606580949816909e+00,1.494653417332877821e+00,4.666238158882842768e+00
2.116309433508895221e+00,1.027702406933835189e+00,1.045891250717691179e+00,4.289200959712985650e+00,6.290837109645911696e+00,3.006869398781055747e+00,2.916127715532232489e+00,-4.743871704903095295e-03
