X01_q0,X01_q1,Y01_q0,Y01_q1,X12_q0,X12_q1,Y12_q0,Y12_q1
3.139693680086274030e-01,6.918091620222803773e-01,3.141582754277765233e+00,3.141592780114514927e+00,3.108474843828306522e+00,3.140706095203890325e+00,6.283185307103744677e+00,6.283185307032477240e+00
-3.141671892175456282e+00,3.141555654377030660e+00,3.141566248581881826e+00,3.141593257191447996e+00,3.141421779179851104e+00,-3.141755728144846938e+00,3.277622679019770479e-05,6.283205167232542188e+00
3.141593300481662521e+00,3.141592603836313113e+00,3.143517433822967000e+00,3.141489668192380957e+00,3.151591491164195347e+00,3.140549296609146612e+00,3.142354142843857279e+00,3.157745503684059596e+00
3.141592702502962187e+00,3.141592775619800548e+00,2.554614776515300001e+00,-2.264188083413719799e+00,2.069983337832382642e+00,1.306434111159014533e+00,3.024949191755258671e+00,4.047317209649130554e+00
3.141639380341372245e+00,3.141623165225380987e+00,4.742800811721566312e+00,-4.314496950257205476e+00,7.337272528618056455e+00,1.791466192207994856e+00,1.348684946616916180e+00,3.609703504564200749e+00
3.154145692505931908e+00,3.141543140668188627e+00,2.146156996214557466e+00,5.239229852702760759e+00,2.277455782859955313e+00,2.401196577854183722e+00,2.524474637457502002e+00,5.208584266911628902e+00
3.136971123501032910e+00,3.141516100890910490e+00,5.506761493164576748e+00,-2.034185959804071686e+00,3.464405235336387889e+00,8.111126994392682477e+00,4.182704486016133871e-02,4.718767736775492772e+00
4.121535857301145356e+00,3.141154106312697536e+00,2.298501601685385864e+00,5.004499659846193715e+00,-2.346023781428563729e-02,3.459369181555370432e+00,1.899499311584157857e+00,1.604345795852919254e+00
4.545787234455401560e+00,-3.521484877674307068e+00,1.469365930440789114e+00,4.384053060103153321e+00,2.962709996560398462e+00,2.795966762188852386e-02,4.413866858522536241e+00,7.763061328947554962e+00
4.406792043680304971e+00,-1.085251088250237528e+00,4.814303286257832326e+00,1.116795979500742719e+00,7.231163243074961500e+00,3.172624681886737630e+00,-1.395004930293976653e+00,4.733459442718879195e+00
-2.605874711850489009e-02,-3.062179616227711954e+00,7.334600630354920270e+00,8.008867044006827030e+00,6.350662927948360625e+00,3.471990481340743617e+00,5.433957653821816614e+00,4.883805833405998165e+00
6.364934495518660640e+00,2.185331556756732851e+00,4.221960842079931275e+00,2.254502692880206105e+00,-3.556270372395851226e-02,-1.207935175845235687e+00,2.323128811894461521e+00,2.301619538276527877e+00
-6.607118295051740697e-02,6.429112951725370451e+00,1.707966546834261967e+00,6.614228250729327740e+00,1.189312571869012292e+00,-4.609685243562818835e-01,7.853856301425053310e+00,6.784956916024919238e+00
3.395133839205437543e+00,6.510984634131887994e+00,7.565281389448252902e+00,3.069348075797941444e+00,3.931443957343980777e+00,9.264309284344443007e-01,4.837902454285496034e+00,3.160967457199805430e+00
6.285173802824997935e+00,6.420019508258008045e+00,1.407994480585534225e+00,-9.983443375007498843e-02,5.353067795793475803e+00,-2.989531717045156856e-01,-1.211229888409616429e+00,6.848203179080569747e-01
5.003367194833612253e+00,4.010313814471665239e+00,-2.270110841948942859e+00,1.860101174349571007e+00,6.103725925360061311e+00,3.268379572945172118e+00,8.674942982171623740e+00,-1.566765741472082141e+00
3.052192031541505646e+00,6.283284316376556156e+00,9.365680693829394610e-01,2.143040825060187338e+00,-1.645888383181403573e-03,3.139468786287144209e+00,2.969687315071540268e-01,1.871748761643700520e+00
3.138498702753525826e+00,-6.293559455753840865e-05,6.282836723802613044e+00,1.281281485369789586e-01,-1.461394362840780833e-04,3.141519835450022669e+00,9.395702261493479313e+00,-3.141630454376519666e+00
3.141191835683131650e+00,1.775675502656451113e-05,-4.238171680027598985e-06,6.283422175305506840e+00,4.189099638666634418e-06,3.141587969256145918e+00,-3.141756583506571499e+00,-3.141617858106210193e+00
3.141344082178672004e+00,-2.695409175535018443e-05,-1.254508252612031923e-04,6.218470160076297049e+00,6.283208122768101589e+00,3.141592055734384381e+00,3.173563874219204717e+00,3.140435011880483351e+00
3.162112445683006090e+00,1.461911490220894894e-01,6.410711485357232675e+00,-1.840043908449395138e+00,-2.283103205015084292e-02,3.140970545786289314e+00,7.260872434751267868e+00,3.854669478873626431e+00
3.422132585212864786e+00,-9.156653640646529313e-01,8.365915258191138903e+00,-1.633105732493237872e+00,-1.670702174288229758e+00,3.547472497112318379e+00,-1.739905995721277021e+00,1.207365573225691158e+00
2.975791747449305635e+00,3.141672087437192840e+00,4.739490076385369122e+00,-1.292363510701129758e+00,3.149631582127945251e+00,1.358187446269010223e+00,1.517283651640623621e+00,1.344988154615167852e+00
2.179838085749480570e+00,7.531380514146699845e+00,1.485780033251903776e+00,1.719095878647967313e+00,3.017225774728137910e+00,2.156577544475538843e+00,4.629669709579335546e+00,4.370294453189644379e+00
3.880286564858920872e+00,3.139774316699103007e+00,1.974067374238411388e+00,2.014533049430314193e+00,7.644037446829665683e+00,2.548273771705228175e+00,1.808538447807946259e+00,4.593304021467957909e+00
1.663623965533370885e+00,3.056553755757006385e+00,1.389438213280279832e+00,9.958208771149358596e-02,3.124406625982318886e+00,3.354626877606592839e+00,4.835880220798762785e+00,7.172813642485339258e+00
-9.240486498354358869e-01,7.980497472107489498e-01,8.075792513902351644e+00,-1.952717967339450800e+00,6.390784292970841385e+00,2.462333118493019446e-01,1.858469979713224696e+00,4.493440646892362444e+00
3.199300649166211929e+00,6.891995019302089354e+00,1.053056491990579158e+00,1.873245711834107707e+00,3.066109423377044951e+00,-1.019662542039075692e+00,9.104940908063118288e-01,1.766634188334768929e+00
2.690084560764089083e+00,3.645532039947638747e+00,2.126066682510917349e+00,5.469546739317089568e+00,2.745014559449955094e+00,3.173304531362073355e+00,4.031380804548688523e+00,5.101409848069413222e+00
3.346484066450158501e+00,5.273138931641435434e+00,4.889730660350585012e+00,3.154360808486162959e+00,2.898874805482162031e+00,5.239011263479322889e-01,1.334163021808717930e+00,2.161187806965814140e+00
4.300495376835802297e+00,2.297158979355805375e+00,4.867553154773054835e+00,5.577780031542032280e-01,2.061082472817649780e+00,3.144089520024079931e+00,-1.343841959565178934e+00,1.011640745639542649e+00
1.135452688782833119e+00,4.927231785301565026e+00,4.269086230808235349e+00,2.041301756597788231e+00,7.321723035859633022e+00,-9.598489134723330318e-01,4.079951216241723522e+00,4.379367569812494310e+00
3.135544013407470576e+00,4.040403331709133461e+00,1.150489016481327731e+00,1.434845739302751388e+00,2.504061138343168125e+00,3.593752039054311176e+00,5.313388683086271769e+00,1.462896275789090872e+00
-7.324714469585367205e-01,3.059705776535729616e+00,8.110898659074194939e+00,4.824370169637960615e+00,1.113449381653374104e+01,2.354307075122654247e+00,1.934510233421283365e+00,4.837257074910890076e+00
2.280821710765177812e+00,-7.569027271409258795e-01,4.969959032423095557e+00,1.648479895527032779e+00,4.623736175601590226e+00,1.290477600329247521e+00,1.205844307254138270e+00,1.694833700818275446e+00
7.045521452649538219e+00,5.877764623257037080e+00,3.644814494318730169e+00,2.415546129654126073e+00,-7.102183212538926149e-01,6.336447260104043799e+00,3.197732384068682876e+00,2.482867762966546543e+00
4.810738811477619059e+00,7.994600668963732559e+00,3.141168101435233506e+00,3.143198669188126626e+00,8.599743974861453921e+00,4.627423775664477823e+00,3.141582799614426769e+00,9.424314802144968084e+00
4.371648540858360299e+00,2.646972917561823735e+00,3.141582286778176858e+00,3.141594386462457589e+00,-8.282090807478993399e-01,3.199272077428977124e+00,3.141592337562890691e+00,3.141592653511234623e+00
-8.601110664363060820e-01,6.226599500079061933e+00,3.141592669208817856e+00,3.141592652488952808e+00,1.722701152096783428e+00,-3.464834220433423151e-01,3.141592653548856973e+00,3.141592653579279748e+00
8.278483714516696068e+00,4.459542765394361119e+00,3.141592653578070049e+00,3.141592653663892953e+00,1.722618170998377440e+00,1.941211265887967219e+00,3.141592653586687156e+00,3.141592653595450368e+00
